proj_unixname	description
au1100-linux	The Au1100  is so excellent that I am willing to porting a embedded linux on it. I want to modify linux kernel and GUI to make a whole bin file.The user will only operate a grapic interface window as a desktop at begin.And all the other apps will be call
au3-mode	au3-mode is the Emacs Major Mode for AutoIt version 3 language files
au3forums	Autoit based, forum system. Uses SQLite and Autoit to create an easy to use foruming system.
au4all	AutoIt Community software.
aua	Automatic Update Agent
auase	A software that automatize sending/receiving of short messages from secretary to user
aubelisk	Web based interface for Asterisk written in Perl
auber	Tulip is a software for visualisation of huge graphs. It provides 3D OpenGl rendering, Editing, Automatic drawing and Automatic Clustering.
aubio	a library for audio labelling and features extraction
aubit4gl	&quot;Aubit 4GL&quot; is a project to make GPL, OpenSource, Informix-4GL compatible compiler, and continue to extend functionality needed to write most efficient and productive business related, database oriented applications. See &quot;Home Page&quot; l
aubng	Aubng is a Usenet binary decoder implemented entirely in Perl5. Aubng provides a boatload of features, and an extensible handler architecture.
auboard	A web based bulletin board software implemented in object oriented fashion in PHP 5 for easy maintenance and enhancement. Also uses advanced database persistence features offered by Propel.
auburn	This is a comprehensive multimedia asset cataloging solution.
auc	AUC for Education is an GPLed intranet system designed for use in a K-12 setting that provides a web-based environment for students and teachers to interact via &quot;Interactive Classrooms&quot; and other innovative features.
auc-dbms	AUC-DBMS is an XML-based DBMS. Created by: Mohamed El-Geish and Ahmed Hamza. Supervised by: Dr. Awad Khalil and Mohamed Attia. The American University in Cairo - Computer Science Department (http://www.cs.aucegypt.edu).
auc-plethora	Plethora is a NetBeans plugin that provides a designer and a code-generator for Looking Glass 3D (http://www.sun.com/software/looking_glass) applications.
aucas	A basic document management system, including TWAIN scanning, MODI (Microsoft Office Document Imaging) storage and OCR of files, and graphical interface for MySQL databasing.  Developed as part of a system implemented at Andrews University. MI.
auccow	Partial implementation of a HL7 CCOW (Clinical Context Object Workgroup) v1.5 server using standards based interfaces. Supports .NET remoting binary (tcp) and SOAP (http) clients.
auch	Skydome and auch are tools for processing HAM Radio Astronomy.  Captured radio signals can be analysed using  *auch* and be plot  on a skychart with the skydome program.
auco-commander	auco-commander is an utility which allows to execute complex command-line commands by means of graphical user interface.It is a customizable command builder and executor.Instead of typing commands, build them and execute with couple of mouse clicks.
aucontraire	Au Contraire is a Java file comparison &amp; merge tool.  The goal is to provide common comparison/merge utility in an intuitive UI across multiple platforms.
auct-pict-serv	Auction Websites (like eBay) allow the use of picture services. This project should enable everybody to use it&#039;s own pictureservice. It will provide functions for upload pictures, generate galleries and XXL pictures and collect valuable statistical 
auction	AuctionWatch will watch auctions for you and will allow you to bid when you want, not when you sit near your computer.
auction-frmwrk	A complete auction framework to be implemented within any website whose host supports PHP 4 and a mainstream Database system (such as MySQL). The framework is highly customizable and easy to install. It also supports secure transactions.
auctionad	The Auction Advertisement Generator uses php, perl, and sendmail to create html auction ads per users input in an html forum
auctioneer	Der Auctioneer ist ein Workflow-Management System f?r eBay Auktionen, das es dem Verk?ufer einfacher macht seine Auktionen zu beantworten und schneller zu bearbeiten.
auctioneer-wow	Auctioneer is an interface addon to the World of Warcraft (TM) game. Auctioneer enhances the WoW interface by adding additional information to the tooltips in the game that allow you to see additional information on the value of items in the game.
auctioner	Auctioner is an eBay-stylish auction software. It is intended as an example for the book &quot;Portale und Webapplikationen mit Apache Frameworks&quot; ed. Fabian Theis, but it may serve as a starting point for further development as well.
auctionexchange	This project will use rails to implement an auction-based exchange system.  It is targeted for use with bots on online-RPGs, but the software will be usable in auctioning any items of standardized quality.
auctionfeed	Auction Feed is a library of PHP classes and code examples which interact with the eBay REST API. Project development is focused on maintainence, optimization and documentation of reusable code, suitable for integration into websites and applications.
auctiongallery	AuctionGallery is a terminal script that creates picture galleries and HTML descriptions for the purpose of putting them into auctions like eBay or Yahoo! Auctions. It is aimed at power-sellers who need an efficient way of generating auction descriptons.
auctionlister	Contribution for osCommerce - Integration of eBays Marketplace with Aftersales-Service. Erweiterung für osCommerce - Integration des eBay Marktplatzes mit Aftersales-Services.
auctionmage	Auction Mage is a sniper software to manage and bid on your online auctions. It has many features: multi-language, bid now, bidding groups, timesync, $ and euro support, RAS connect, browser control (server mode), ...
auctionminister	Auction Minister is a web application useful for tracking your Ebay sales.   With it you can track items, purchases, sales, and customers.  The import feature allows you to  upload your Paypal data directly into Auction Minister.
auctiontextgen	This application allows you to specify the weight/dimensions/packaging material/fees/etc. for your item and then puts together a total cost to ship the item. The application also generates HTML which can be copied/ pasted into any auction listing.
aud-x	Aud-X is next generation 5.1 (home theater) sound codec. We develope ACM and DS Aud-X encoder/decoder to let multichannel sound into DVD to Dvix converted movies. Using latest DSP knowledge lets us achieve perfect 5.1 feeling at 128 kbit or less!
audacious	Audible library for simple manicure of vocal sound files. Applies basic effects such as normalize, noise reduction (nr), clipping, compranding, click removal, silence truncation, etc.). Gui for capture of nr profile. Batch mode to prep for distribution.
audacity	A fast multi-track audio editor and recorder for Linux, BSD, Mac OS, and Windows.  Supports WAV, AIFF, Ogg, and MP3 formats.  Features include envelope editing, mixing, built-in effects and plug-ins, all with unlimited undo.
audacity-extra	audacity-extra provides diverse GUI plug ins to customize the open source sound editor Audacity.  It includes a vowel-sound target-practice display for language learners and an analog waveform data logger for embedded systems.
audacitypolicia	Audacity Policial (aka Audacity Police) is an extension of Audacity sound editor that was created to help police and justice investigations based on phone call and environmental recordings, supporting audio analysis and transcription.
audaremote	A little external scheuduler for Audacity. Win32 only.
audconv	As the name implies, this is an audio conversion utility, originating from the idea of making a mass converter of popular lossless compression algorithms (.FLAC and .SHN)
audela	AudeLA is a TCL extension aimed at providing amateur astronomers with image processing, telescope controling, ccd camera driving, and various astronomical algorithms.
audicle	The Audicle is a context-sensitive, on-the-fly programming environment for audio synthesis.
audiction	This application provides a set of tools to synthesize, create, edit and mix music using pluggable audio emisors, envelope generators and effect processors.
audience	This is an audience response system that doesn&#039;t require issuing clickers or need specialist infrastructure. Vote from a web browser or by mobile phone. It is intended for co-located audiences but also works with remote audiences.
audiere	Audiere is a portable audio library which supports playing MP3, Ogg Vorbis, FLAC, WAV, IT, XM, S3M, and MOD files.  You can use it from C, C++, Python, Java, Delphi, and any language that supports XPCOM (JavaScript in Mozilla, for example).
audierenet	AudiereNET is a portable audio library which supports playing MP3, Ogg Vorbis, FLAC, WAV, IT, XM, S3M, and MOD files. You can use it from any language that is supporting .NET Framework.
audigytools	User-friendly graphical tool for controlling audio mixer settings and configuring Creative Audigy Sound Cards.
audio-daemon	Audio Daemon is a perl module to daemonize various players and support a single UDP interace for different players.  Currently you can set up a server for MPG123, Xmms and an icecast stream (using libshout).  Now your application only needs one client li
audio3d	VRSS is a free player for the XML schemata Audio3D (see: http://www.contigra.com/audio3d). It uses Coin3D and the DirectSound3D/EAX APIs.
audioboard	Audioboard allows you to painlessly lay out a &quot;soundboard&quot; that can be saved and redistributed. You can lay out buttons in a window, and associate a sound effect with each button. Written in Visual Basic 6.0, intended for Windows platforms.
audiobook	This compressed file contains several samples including a web based audiobook table of contents XML generator, use case scenario examples, and a sample audiobook player written in Visual Basic.Net (Source code included).
audiobookcutter	Audiobook Cutter is an easy-to-use tool which splits large speech MP3 files into smaller ones without re-encoding. The split points are determined by silent parts. The main purpose is to make audiobooks or podcasts more manageable in a user-friendly way.
audiobookmaker	Audiobook joiner and converter for Mac OS X
audiobox	audioBox is a Linux mp3 / ogg player front-end based on LCDproc, mpg123 and ogg123. It is intended to run on a standalone headless Linux machine as an \\&quot;audio appliance\\&quot;. It provides file browsing and search capabilities through an LCD display
audiocustominfo	This library allow to write to and read from MP3 files any kind of info in a extensible and configurable way.
audiocutter	The AudioCutter Cinema offers you a wide range of functions for creating, changing, converting and editing of common and surround sounds.
audiod	A piece of software to manage your music on a server. It features a jukebox and has a DAAP feature, so you can connect to it from iTunes (Windows or Mac).
audiodb	af | audio_db is a solution for managing different types of media files like mp3s and videos. It should make searching those files easier and more flexible than just using windows search. An asp.net web frontend is presented to the authorized user to per
audiodrama	Audiodrama uses audio visual technologies such as mp3 or realaudio  with the phpslash and phplib packages. Multiple users and content management based, its interface tries to be as complete as possible
audiodrive	AudioDrive is a moblie digital audio player intended to be used in a vehicle. It displays the UI and file info on a LCD and can be controlled via a ir remote.
audioenclave	AudioEnclave is a linux audio server that can be used as a web-based jukebox for any sort of community setting- your home or a dorm hall. It allows for in-depth searching, playback on multiple channels, playlists- all through an intuitive website.
audiolab	The developed audio editor will be a research aid to trial the ability of a computer to convert sample data into midi data, using the soundfont specification in an effort to make the midi representation sound as close as possible to the original audio.
audiolibrary	AudioLibrary is a database-driven music player, which eliminates the need to store music as files. Music data is physically stored in the mysql database, and played directly from RAM using BASS.NET. Currently, only MP3 files may be imported.
audiolink	AudioLink is a content manager. Its main goal is to make searching for _content_ in files easier.  It uses MySQL for storing the information about files and presents a nice CLI (command-line interface) as well as other GUI options to retrieve data.
audiom	AudioM takes audio playlist formats (M3U,PLS,PLA/PLP) and copies the files to a new location with a playlist matching the new location.  It also does playlist format conversion.  Great for managing disk based MP3 players (Especially the Sansa).
audiomuse	AudioMuse aims to be a complete client/server multi-platform multi-format pervasively-modular networkable system for the production, transmission and reproduction of music.
audionut	AudioNUT is an audio player for Windows. It supports MP3, Ogg Vorbis, FLAC, MPC, AAC and a ton of other formats you&#039;ve never even heard of.
audiophilia	Audiophilia is a Delphi coded Win-32 GUI frontend for the command line program shntool. This project is aimed at creating an easy-to-install and comprehensive set of audio and checksumming tools for the common lossless audio codecs .shn, .flac, and .ape.
audioplayer	AudioPlayer is a DirectShow based media player capable of playing MP3, MPGA, WAV, MIDI, AU, WMA and ASF sound files as well as WPL, ASX, WMX, WAX and M3U playlists. Internet media is also supported and no install is required. All in less than 100KB.
audioplex	An LPCM multiplex/demultiplex utility for DVD-Video with md5 verification. Creates full-resolution &quot;audio-only&quot; dvd-video discs from wav/flac filesets, and extracts unencrypted LPCM audio from dvd-video to wav/flac.
audioradmin	AudioRadmin is designed to provide complete remote control capabilites over both Winamp and XMMS operations.
audiorg	AudiOrg is a command line tool to sort audio (or possibly other media) files into a directory structure according to their tag meta data information. It currently supports ID3 and OGG tags.
audioscrobbler	The Audioscrobbler development project has moved to a new site at http://www.audioscrobbler.net. This project is no longer in use.
audioseparator	AudioSeparator is a windows-based audio editor that splits WAV files using configurable silence detection techniques.  This product used to be shareware but has been re-released by its author under the GNU General Public License.
audioserv	@udioserv is a script that builds a Web site with your MP3 files, and you can select files to download or stream on the server.
audioslicer	AudioSlicer is a Cocoa GUI application that finds all silences in an audio file and allows you to split it into several smaller audio files and to name/tag them properly. For now only MP3 is supported but other formats may come in the future.
audiostar	Audio*Music Project is making software for Linux for ALSA 0.9.X. It features sequencing software and software synths.
audiostreamer	A Linux-based software suite (client and server) for streaming audio and real-time text chat.  (C/C++)
audiosync	The project aims to develop tools for synchronizing audioplayback to different timecode sources.
audiotagger	audiotagger retrieves FreeDB information about MP3 files which have been extracted from CD albums.  With this information, audiotagger can rename the MP3 files and write ID3v1 and ID3v2 tags with updated FreeDB information.
audiotagparser	Audio Tag Parser is a metainformation parser for audio files. It includes GUI for both w32 and linux enviroments and automated file handling based on defined expressions or heuristic analysis.
audiotv	Lets you turn your TV into a audio jukebox. Simple interface ideal for using with a TV and a wireless mouse. Currently supports Windows and MP3 and WMA files.
audiowrapper	A GUI (interface) for mp3splt and mp3wrap written in Java. The open source alternative to AlbumWrapper. Compatible with AlbumWrapper only for splitting
audis	Audis is a solution to implement sonification (based on audio or MIDI data) into web pages and web applications.  Audis can be installed with Java Web Start and enables web servers to \\&quot;compose\\&quot; sounds which can be played back on the client.
audit-template	Audit-template is an MS Infopath template. It is supposed to help auditers/pentesters to formalize / share their knowledge by creating an XML form that can be filled out when performing the audit.
audit-test	audit-test is a test suite designed to provide automated testing for the light-weight audit framework that first appeared in the 2.6.4 kernel.
audithem	Audithem! es un software de auditoria de e-mails que permite almacenar información básica en una base de datos MySQL. Permite responder a las preguntas de los administradores tales como ¿Quien envió un correo? o ¿Para quien fue un fichero adjunto?.
auditisx	AuditISX is Win32 based auditing software that uses WMI and the Windows registry to audit and collect data from Windows Based workstations and servers, then save to Access, SQL, Oracle or XML. Visual Basic 2005 Express Compatable!
auditlib	AuditLib is a library system for financial audit libraries.
auditor	The purpouse of the assembly &quot;Auditor&quot; is to facilitate the registration of action information (reading, inserting, deleting) against a data storage system by an application, sub-system or user.
audittracking	we will develop project which named AuditIssueTracking. it can be used by Bank, industry company to track the issue,which was found before. in this project we will use the java,tomcat,xml,sql and sxml and also it is web-based program.
auditunlink	Wonder who deleted that important file on your Linux box?  Did your database files &quot;mysteriously&quot; disappear from that super-secure Linux database server and you don&#039;t know how?  Now your system logs will tell who, what, when, and how with 
audjay	An intelligent music player that automatically selects the music to play from your collection, as a continuous playlist. You set as many variables as you like and the music is chosen with respect to your preferences.
audjoo-helix	Audjoo Helix is a polyphonic software Synthesizer. It is developed as a VST-instrument plug-in. It features low CPU-usage, multiple oscillators, filters, distortion, flexible modulation, semi-modular configuration, delay, reverb and compression/limiter.
audshare	This application comes up with a serverless P2P network. It enables filesharing as well as the distribution of any music related goods, such as reviews, comments, ratings and more.
auebgs	Background subtraction program and software to model exemplars.
auf	AnotherUpdateFramework try&#039;s to be the perfect companion for software distribution and software management for Mac OS X.
aufgabenmanager	Ein einfach gehaltener, in PHP geschriebener, Aufgabenmanager mit Administrationsoberfläche zur Userverwaltung. A simple Taskplanner written in PHP with administration interface to manage user logins.
aufs	Another Unionfs. The Unionfs is originally developed by Erez Zadok and his team. Once aufs was entirely re-designed and re-implemented Unionfs. Enhancing with many original ideas, it becomes totally different software while keeping the basic features.
aug	A portable framework for building service applications.
augcyl	Asociaci?n de Usuarios de GNU/Linux de Castilla y Le?n
auge	Auge is an easy-to-use financial portfolio management application. Auge will help you monitor and analyze your stock and mutual fund positions, providing powerful insight into your entire investment portfolio.
auger	The Auger Toolkit is a lightweight, reflection-based web component framework designed to aid in the rapid development of Velocity based web applications.
augment	Augment is a Java-based program which replicates much of the functionality of the original NLS/Augment system written by Doug Engelbart and his team between the 1960s and 1980s.
augment103	A Project to find better ways to play movies across all platforms.
augmented-real	Library for algorithms of Augmented Reality with a application to demonstrate it. Programmed in C/C++ and OpenGL.
augterm	AugTerm is a terminal emulation program which emulates a terminal that was used to communicate with Doug Engelbart&#039;s Augment system.  It is written in Java, and can run as an applet or an application.
augui	The AUGUI framework is a set of classes to be used to ease development of custom Carbon edit views for Mac OS X Audio Units. The classes are based on the HIFramework and on the AudioUnit SDK provided by Apple. Support for Cocoa UI is being added.
augur	Augur is a set of forensic tools for analyzing and visualizing network traffic.  It facilitates databasing, manipulation, and display of data recorded in libpcap compatible formats.  Emphasis is on databasing information and graphically depicting results
augur-olr	An offline reader (OLR) for CiX and potentially other conferencing systems (especially ones based on Cosy which is also now hosted on sourceforge)
auguriotool	This is a program developed by RPG\\&#039;s players to consult your Auspice.
august	A Java-based CCXML runtime with a plugable API to connect to the underlying voice system.  The initial system will include support for Asterisk.
augustus	A scoring engine for statistical and data mining models based on  the Predictive Model Markup Language (PMML).
aui	This is an attempt to create an image format which supports animations, and is completely Free and Open Source.
auii	auii is intended as an adaptive (g)ui for iinteractive software and/or an adapter application where software modifications are prohibitive.\nin it&#039;s simplest form it affords gui components to be drag and dropped, hence reorganized, by the user.
auit	The AUIT toolkit is a high-level Java user interface toolkit which completely abstracts the application code from the interface. For many platforms, native widgets are provided; other platforms can use Swing. The interface is specified in XML.
aukyla	The Aukyla Platform is a platform for creating, managing and deploying web-based PHP5 applications. This project page is no longer active, please visit: http://www.aukyla.nl/?page=Aukyla+Platform
aulanarede	Aula Na Rede  is a tool that creates a network environment that gives teachers control of their students. Aula Na Rede can broadcast the professor&#039;s view to all students, also blank their screens, block access to internet, block input (mouse/keyboar
aulari-virtual	Scheduling and calendar managament of classrooms and other rooms that are placed in one or multiple buildings. The aplication also provides the automatic confection of schedules from the data inserted in the same act to reserve a classroom.
auli	Auli is an intelligent module based downloader supporting multi-threading multi mirror.
aumix	This program adjusts an audio mixer from X, the console, a terminal, the command line or a script.
aunit	The aUnit project is aiming to develop a unit test tool for cross-cutting concerns, commonly referred to as aspects.
auoe	AUOE stands for Advanced Ultima Online Emulator. This project has the aim to build a highly customizable free opensource UO emulator. Our secondary goal is to build a highly customizable compatible Ultima Online client. Languages: C++/PHP/Perl/Python/XML
aupam	A graphical application, written in java, for the string pattern matching theory with finite automata.
aura	Designed for non-expert scientists considering to use VR, Aura presents an easy-to-understand C++ API that extends basic available low-level graphics facilities like OpenGL or Direct3D with scene graph management paradigms and a VR programming framework.
aura-pda	Handix is the OS for the Aura line of simple, inexpensive palmtop-type handhelds, designed by this project.
aura-xmlrpc	Aura is a plug-and-play XMLRPC application framework in PHP5. It bundles an XMLRPC client and an XMLRPC server. It has simple and clean API and allows exposing already written functions and classes as web services for instant productivity.
aurabpm	Aura is a usefull and advanced workflow suite. Aura has over 300 new html and mail design tag and a powerfull deamon modul. It provided and devolped by sight9 (www.sight9.com).
auraeus	Auraeus is a 3d Massively Multiplayer Online RPG coded in C++. It is in the early stages, but is very workable in its present state.
auralprobe	Aural Probe is a convenience tool for computer musicians/audio engineers, designed to facilitate the process of previewing and selecting audio samples, such as drums; synth samples; percussion and so on; from a large collection of folders/subfolders.
aurang	Aurang is an online library which is developed for the special needs of universities in Afghanistan. It&#039;s part of a project at the Technical University of Berlin. It is based on dSpace
auraproject	Aura is a powerful architecture to build next generation Web 2.0 applications by unifying and integrating object oriented design(OOD) with technologies like Flex, AJAX and Hibernate.Provides its own test and prototype frameworks based on JUnit and Groovy
auratus	A java based neural network framework.  The Auratus network is built around an XML messaging system, allowing for a complete MVC design. Additionally, Auratus networks are constructed and at the node/edge level, allowing for advanced topologies.
aureal	We hack on the aureal drivers for vortex to make it more stable and usable.
aurelia	Aspect-Oriented Programming support in the Delphi Language and IDE...
aurelius	To develop a microkernel based os. A microkernel is basicaly an OS kernel which communicates mostly using messages. All programs drivers and other entities exist as contextless components which transact. They keep no permanent data.
aureus	This little software calculate aureus proportions. Is aimed to work together other design software and help to situate elements in good positions.
auricula	A podcast aggregator written in Python using GTK.  Users can subscibe to podcasts and download the latest episodes to their hard drive (iPod support is planned).
auriferous	Auriferous is an arcade style like game, where you must collect goldpieces, fight with some monks and reach then a door to go into the next level.
aurigadoc	AurigaDoc is a java-xml based documentation tool for writing documents in xml format and converting them to other formats like HTML, DHTML, PDF, PostScript, Formating object(FO), RTF, Java Help, HTML Help, Oracle Help, etc. AurigaDoc is not an xml editor
aurigadoclet	AurigaDoclet is a Doclet which can generate Java API Documentation in the following formats: Formatting Object(FO), PDF, Postscript, PCL, SVG, etc. The generated javadoc can be customized by specifying a header/footer text and a cover page in XHTML.
aurigae	AE Aurigae illuminates the diffuse nebula IC 405, also known as the Flaming Star nebula, causing it to glow dramatically.
aurin	Dependency Inversion: Guts, Impact, Implications.
auristerre	Auris Terre is an Open Source Massive Multiplayer Online Roleplaying Game in a futuristic environment. You&#039;ll beable to choose from ten different educations and four different breeds. Enter your new world!
aurora-cms	Aurora is a modular, multiportal, multilanguage Java-based content management system running on top of a JBoss application server connected to a database server (MySQL, PostgreSQL, ...) via Hibernate. Published content can be plain HTML, PHP, JSP, ...
aurora-ims	Aurora IMS is an inventory management system, utilizing an optional Client/Server model for ordering
aurora-widget	Wondering what the aurora forecast is right now? Using the power of the internet, this Mac OS X Dashboard Widget displays the current activity level. The display can be configured to show a more detailed rundown of the space weather conditions.
aurorab	Aurora Borealis This project is supposed to become a FREE 3D MMORPG game The user interface is supposed to be an &quot;interpretator&quot; for the game and should as such be able to be represented in many different ways.
aurorabbs	Aurora is a mySQL driven BBS system written in perl.  It is easy to set up (no file editing), completely customizable and powerful.  The end goal is to be a freeware alternative to UltraBoard and UltimateBB.
auroracontrol	Aurora Light Controller is a theater-oriented lighting controller. It is built around cues and conventional fixtures. It currently supports the usbdmx.com controller and the ArtNet protocol, and is designed to support additional controllers.
auroraf	AuroraForms lets develop easy and fast web applications oriented to database systems, information systems. Php code generation from relational databases. Add, Modify, Query, Delete on a table using Grids, Master-Detail and so.
auroragame	AuRoRa ist eine elektronische Variante des ?beraus coolen Brettspiels RoboRally. Ein kleiner Roboter muss so programmiert werden, dass er m?glichst schnell von einem Checkpoint zum anderen kommt.
auroraproject	Aurora Project is an attempt to create a simple and usable Desktop Environment for Linux, to easy the move from another OS to Linux and to liberate the User from system and desktop management. It&#039;s written in C++ and requires GTK+ and gtkmm.
aurorauos	Aurora is an ultima online emulator made in VB. Made to emulate older patch versions of OSI before trammel.
aurorax	An innovative Mac OS X weather program with 7 day forecast and weather maps for thousands of locations worldwide.
auross	Massively Multi-Threaded and fully Object-Oriented game engine. An easily extensible core library, along with embedded Python for easy scripting of just about anything, makes the Auross engine a perfect choice for just about any gaming project.
aurox	Aurox is the most popular European distribution based on Fedora. It&#039;s a fast and stable operating system that focuses on better hardware support. The graphical configuration tools and installer help new users to get started with linux distributions.
aurox-updater	Aurox-Updater is a kde system tray application to monitor and install software updates using yum in background.
aurum-rl	A simple roguelike RPG with a fantasy theme.
auryn	Auryn is a cross-platform filemanager designed with flexibility and customizability in mind. Based on the Eclipse RCP platform, it has got an intuitive interface and contains an integrated Python shell giving advanced users a powerful scripting interface
auspice	Rich Features IRC Services, won&#039;t release any new package until 2007
auss	Abram&#039;s Unix Sound System is a stream based sound system meant for connected applications together through easy to use APIs.
aussicart	Basically two programs. Web Interface, Will take item info stored in database form and use templates to create webpages for developer. Shopping cart, derived from PerlShop, completly rewritten for legal reasons :D
austhex	Development team for open-source software used by the AUSTnet IRC Network (http://www.austnet.org/).
austrumi	AUSTRUMI is a business card size (50MB) bootable Live CD Linux distribution.
aususa	The Aususa Software Development Project Is An Ongoing Effort By A Few High School Students That Enjoy Writing Code For Applications That Have A Practical Use.
autarkys	Autarkys will provide a collection of tools for the creation of roleplaying games. It focuses on general problems of current RPGs, e.g. too simple NPC behaviour, static environments, limited playing area etc.
autat	AutAT (AutomaticAcceptanceTests) aims to make the process of creating automatic acceptance tests for web applications easier. AutAT is a Eclipse-plugin for creating such tests graphically. AutAT is installed via the Eclipse update manager (see Home Page)
autentica-linux	Autenticador de facil manuseio para usu?rios Velox. Autentica no VeloxZone e tambem pode interagir com sua conexao rp-pppoe, conectando ou desconectando a ADSL diretamente pelo programa. Roda em X11.
autenticaadsl	Aqui voc? encontra o melhor autenticador para o sistema Velox e links para Autenticador Adsl, Velox, PPPOE Adsl, Telemar.
autenticador	Programa que ajuda os usuários do serviço velox a realizar a autenticação no site veloxzone. O programa autentica/monitora a conexão, realizando novamente a autenticaçao caso necessário. Criado em C++ utilizando a biblioteca wxWidgets[wxWindows].
auth-ldap	OpenVPN plugin to authenticate users against a LDAP directory.
auth-mysql-ldap	mod_auth_mysql_ldap is an Apache HTTP authorization module that combines LDAP with MySQL. Users can be located and grouped in either LDAP or MySQL. Multiple LDAP servers are permitted, including Active Directory and OpenLDAP. GUI interface exists.
auth-passwd	An OpenVPN plugin to do authentication using the local shadow or passwd files.
auth-pgsql	All POSIX (Linux/BSD/UNIX-like OSes)
authadmin	Ce module en PHP permet de g?rer les acc?s ? des pages web de mani?re tr?s simple. Il repose sur une base de donn?es MySQL et est livr? avec une interface de gestion accessible via un navigateur internet.
authclassed	AuthClassed is a class, written in PHP, to implement a simple authentification scheme for database-oriented webpages. Using AuthClassed is as simple as putting a single code line at the top of the webpage you would like to protect.
authd	authd mail policy server; this server talks to postfix, sendmail, and anything else that wants to link to libauthd.a. The code has been stable for years, but the documentation brings us from Mature to Beta. This project has had no changes in 2+ years oth
authena	Authena facilitates syndicated commerce via a distributed network of DRM built upon open source web services and applications. An RDF/RSS feed allows satellite media shops or galleries to syndicate content to a central commerce engine via REST, SOAP, or 
authena22surf	Open Source business plan for making money via Open Source content management systems (CMS) and digital rights management (DRM) for music, photography, books, and more. Syndicated commerce with oscommerce, postnuke, xoops, gallery, tikiwiki, and wordpres
authenticode	PHP based Authentication code that makes HTML pages secure by authenticating users agianst a MySQL database. Uses a MD5 algorithm session id to futher secure a session.
autheventfilter	AuthEventFilter is a Java Servlet Filter that will fire events when user authentication state changes. This allows the developer to perform actions when a user&#039;s authentication status changes, including setting up session attributes, or track user l
authgrab	authgrab is an Authentication Credential Sniffer.  It sniffs network traffic from the network interface and attempts to locate various protocol session&#039;s authentication information as it traverses the network.
authlib	Authlib is a powerful Object Oriented Cookie+MySQL driven user+session management system. It enables a secure environment using advanced encryption using MD5 (Message-Digest 5).
authlite	Authlite is a simple and secure alternative to more complicated authentication mechanisms like LDAP and NIS+.
authmanager	Authentication Manager is a web based frontend to administrate users and groups with .htaccess in combination with mod_auth_mysql and Apache.
authme	Quick, clean, easy PHP Authentication system. Easily modified to suit your particular needs, or can be used &quot;out of the box&quot;.
authmemcookie	This is a apache v2.0 authentication module. Based on html form authentication and cookie authentication session. Cookie session are stored in memcache deamon. Can be used has an simple &quot;Single Signe-On&quot; (SSO).
authordesk	The AuthorDesk authoring tool is a free (GPL) and portable multimedia authoring application based upon the FreeMovie and OpenGL libraries. It is an attempt to create a free and portable multimedia authoring tool that can be used to create Flash(tm), SMIL
authorlink	ALI authorlink is a java based application to manage and link media files like video, audio, pics, txt, rtf and pdf. It is very easy to use and allows you to have an intelligent data management. The linking allows you to use ALI for complex presentations
authorsite	The application will represent a new approach to creating author-centric websites. In particular it will provide bibliographic and email archiving tools based on a relational database implemented in Java using Spring and Hibernate JPA.
authoxy-panther	Authenticating proxy server software for Mac OS X. The front-end is written in Obj-C using the Cocoa framework, but the actual proxy daemon application is written in C using plain BSD sockets.
authpfng	Authpfng is a new authentication back-end to allow people to sign in to the network administrated by an OpenBSD pf-firewall. Login can be done by ssh, web-based and smb. You can assign traffic quotas and QoS per-user or after a certain bandwidth usage.
authpgsql	auth postgresql would provide the capability to keep all users info in a PostgreSQL database instead than in plain text files (as usually) and even more have a more performant system than NIS+.
authprogs	This project is a &quot;C&quot; implementation of http://www.hackinglinuxexposed.com/articles/20030115.html
authservlet	AuthServlet is a Java Servlet (and JSPs/TagLibs) which provides a simple pluggable authentication and role-based authorization service. It can be easily incorporated into any Servlet-based web applications.
authshell	This project provides a PHP5 skeleton for building high-performance, scalable member-based websites.  The goal is that within 5 minutes of downloading, a secure site will be up and running (although it does nothing except allowing you to register, log ou
authware	A simple book management system for a writer. Theme-based and uses an unusual friendly-url scheme.
authwiki	An ASP-based wiki system for IIS v5.x that provides authentication, revisioning, page-locking, inter-wiki links, and course-grained permissions.  The contents of the wiki are stored in a database (MySQL, MSAccess, SQLServer).
autms	Autms stands for autonomous mobile systems. This project contains examples for the project &quot;playerstage&quot;. It also provides a simulation for tasks like path finding through a pre-defined area. All parts are tested with Pioneer robots.
auto-apt	A small program to ease the life of System Adminitrators using an amount of Debian Linux servers.  This utility will allow the admin to have a system that self updates and self cleans, and will email the admin to list of required updates, provided by the
auto-auction	This software, written in Python and Qt, provides a complete network-based Point-of-Sale software solution for an auto auction company.
auto-bus-widget	Auto-Bus is a widget that runs on the Yahoo! Widget Engine. It provides quick, elegant and customizable access to bus times for any transit system for which such information is available online. Files to support each transit system can be made easily.
auto-check-sum	Automatically verifies md5 and sha1 checksums using either a user entered sum or by searching in a file that can be held locally or remotely via ftp or http.
auto-form	AutoForm is a Gtk application which creates dynamically forms to fill/search/modify/delete data in a database, according to a description file written in XML.
auto-matrix	AutoMATRIX is a tool to predict key transcription factors in microarray experiments.
auto-mp3	This MOD adds an mp3 player and a music page with sub categories to phpBB forums. On the music page, a song can be chosen and will automatically add the song to the mp3 player in profile OR can open a standalone player with menu.
auto-net	The goal of this project is to make simple networking and ACPI easier to manage on a laptop running linux.
